,ARO Accession,Model Name,ARO Name,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,Protein Accession,DNA Accession,PMID,PMID Count,PCA1,PCA2,Cluster
37,ARO:3004641,AAC(6')-I-43,AAC(6')-I-43,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-43,WP_064190968.1,NG_048575.1,21422220,1.0,-0.476923944263584,-0.08288098259507351,0
38,ARO:3004638,AAC(6')-I-48,AAC(6')-I-48,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-48,WP_064190968.1,NG_048575.1,23950962,1.0,-0.476923944263584,-0.08288098259507351,0
39,ARO:3002545,AAC(6')-Ia,AAC(6')-Ia,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ia,WP_064190968.1,NG_048575.1,2826403;1314803,2.0,-0.476923944263584,-0.08288098259507351,0
40,ARO:3002571,AAC(6')-Iaa,AAC(6')-Iaa,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaa,WP_064190968.1,NG_048575.1,12679553,1.0,-0.476923944263584,-0.08288098259507351,0
41,ARO:3002572,AAC(6')-Iad,AAC(6')-Iad,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iad,WP_064190968.1,NG_048575.1,15155202,1.0,-0.476923944263584,-0.08288098259507351,0
42,ARO:3002573,AAC(6')-Iae,AAC(6')-Iae,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iae,WP_064190968.1,NG_048575.1,16127047,1.0,-0.476923944263584,-0.08288098259507351,0
43,ARO:3002574,AAC(6')-Iaf,AAC(6')-Iaf,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaf,WP_064190968.1,NG_048575.1,19349516,1.0,-0.476923944263584,-0.08288098259507351,0
44,ARO:3002575,AAC(6')-Iai,AAC(6')-Iai,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iai,WP_064190968.1,NG_048575.1,26270859,1.0,-0.476923944263584,-0.08288098259507351,0
45,ARO:3003677,AAC(6')-Iaj,AAC(6')-Iaj,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaj,WP_064190968.1,NG_048575.1,23070167,1.0,-0.476923944263584,-0.08288098259507351,0
46,ARO:3003199,AAC(6')-Iak,AAC(6')-Iak,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iak,WP_064190968.1,NG_048575.1,25092711,1.0,-0.476923944263584,-0.08288098259507351,0
47,ARO:3003200,AAC(6')-Ian,AAC(6')-Ian,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ian,WP_064190968.1,NG_048575.1,25576529,1.0,-0.476923944263584,-0.08288098259507351,0
48,ARO:3007204,AAC(6')-Iap,AAC(6')-Iap,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iap,WP_064190968.1,NG_048575.1,35862995,1.0,-0.476923944263584,-0.08288098259507351,0
49,ARO:3002546,AAC(6')-Ib,AAC(6')-Ib,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib,WP_064190968.1,NG_048575.1,16641475;2841303;2824444,3.0,-0.476923944263584,-0.08288098259507351,0
50,ARO:3003676,AAC(6')-Ib',AAC(6')-Ib',AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib',WP_064190968.1,NG_048575.1,10720551;8138142,2.0,-0.476923944263584,-0.08288098259507351,0
51,ARO:3002581,AAC(6')-Ib10,AAC(6')-Ib10,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib10,WP_064190968.1,NG_048575.1,9579076,1.0,-0.476923944263584,-0.08288098259507351,0
52,ARO:3002582,AAC(6')-Ib11,AAC(6')-Ib11,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib11,WP_064190968.1,NG_048575.1,12543680,1.0,-0.476923944263584,-0.08288098259507351,0
53,ARO:3002576,AAC(6')-Ib3,AAC(6')-Ib3,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib3,WP_064190968.1,NG_048575.1,1331747;9527761,2.0,-0.476923944263584,-0.08288098259507351,0
54,ARO:3002577,AAC(6')-Ib4,AAC(6')-Ib4,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib4,WP_064190968.1,NG_048575.1,1339319,1.0,-0.476923944263584,-0.08288098259507351,0
55,ARO:3002578,AAC(6')-Ib7,AAC(6')-Ib7,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib7,WP_064190968.1,NG_048575.1,9527761,1.0,-0.476923944263584,-0.08288098259507351,0
56,ARO:3002579,AAC(6')-Ib8,AAC(6')-Ib8,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib8,WP_064190968.1,NG_048575.1,9527761,1.0,-0.476923944263584,-0.08288098259507351,0
57,ARO:3002580,AAC(6')-Ib9,AAC(6')-Ib9,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib9,WP_064190968.1,NG_048575.1,9835500,1.0,-0.476923944263584,-0.08288098259507351,0
58,ARO:3002547,AAC(6')-Ib-cr1,AAC(6')-Ib-cr1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr1,WP_071846215.1,NG_052213.1,18812424;18710261;16369542,3.0,-0.41618699637977613,-0.02668741086773304,0
61,ARO:3005112,AAC(6')-Ib-cr3,AAC(6')-Ib-cr3,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr3,WP_071846215.1,NG_052213.1,22127350,1.0,-0.41618699637977613,-0.02668741086773304,0
62,ARO:3005114,AAC(6')-Ib-cr4,AAC(6')-Ib-cr4,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr4,WP_071846215.1,NG_052213.1,23361643,1.0,-0.41618699637977613,-0.02668741086773304,0
63,ARO:3005115,AAC(6')-Ib-cr5,AAC(6')-Ib-cr5,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr5,WP_071846215.1,NG_052213.1,34909689,1.0,-0.41618699637977613,-0.02668741086773304,0
64,ARO:3005116,AAC(6')-Ib-cr6,AAC(6')-Ib-cr6,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr6,WP_071846215.1,NG_052213.1,33295867,1.0,-0.41618699637977613,-0.02668741086773304,0
65,ARO:3005117,AAC(6')-Ib-cr7,AAC(6')-Ib-cr7,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr7,WP_071846215.1,NG_052213.1,25691640,1.0,-0.41618699637977613,-0.02668741086773304,0
68,ARO:3002592,AAC(6')-Ib-Hangzhou,AAC(6')-Ib-Hangzhou,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC6_IB_HZ,WP_064190968.1,NG_048575.1,20833577,1.0,-0.476923944263584,-0.08288098259507351,0
69,ARO:3002593,AAC(6')-Ib-SK,AAC(6')-Ib-SK,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib-SK,WP_064190968.1,NG_048575.1,3838980,1.0,-0.476923944263584,-0.08288098259507351,0
70,ARO:3002591,AAC(6')-Ib-Suzhou,AAC(6')-Ib-Suzhou,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC_6_IB_Su,WP_064190968.1,NG_048575.1,18843996,1.0,-0.476923944263584,-0.08288098259507351,0
71,ARO:3002549,AAC(6')-Ic,AAC(6')-Ic,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ic,WP_064190968.1,NG_048575.1,1354954,1.0,-0.476923944263584,-0.08288098259507351,0
72,ARO:3002597,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_Ie_APH2_Ia,AAL82588.1,AF355189.1,10021417;2833561,2.0,-0.476923944263584,-0.08288098259507351,0
73,ARO:3002553,AAC(6')-If,AAC(6')-If,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-If,WP_064190968.1,NG_048575.1,7695286,1.0,-0.476923944263584,-0.08288098259507351,0
74,ARO:3002554,AAC(6')-Ig,AAC(6')-Ig,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ig,WP_064190968.1,NG_048575.1,8257129;7810994,2.0,-0.476923944263584,-0.08288098259507351,0
75,ARO:3002555,AAC(6')-Ih,AAC(6')-Ih,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ih,WP_064190968.1,NG_048575.1,7810994,1.0,-0.476923944263584,-0.08288098259507351,0
76,ARO:3002556,AAC(6')-Ii,AAC(6')-Ii,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ii,WP_064190968.1,NG_048575.1,12767240;10378269;8239603,3.0,-0.476923944263584,-0.08288098259507351,0
77,ARO:3002594,AAC(6')-IIa,AAC(6')-IIa,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIa,WP_064190968.1,NG_048575.1,2515793,1.0,-0.476923944263584,-0.08288098259507351,0
78,ARO:3002595,AAC(6')-IIb,AAC(6')-IIb,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIb,WP_064190968.1,NG_048575.1,8385262,1.0,-0.476923944263584,-0.08288098259507351,0
79,ARO:3002596,AAC(6')-IIc,AAC(6')-IIc,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIc,WP_064190968.1,NG_048575.1,15761066,1.0,-0.476923944263584,-0.08288098259507351,0
80,ARO:3002589,AAC(6')-Iid,AAC(6')-Iid,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iid,WP_064190968.1,NG_048575.1,15849260,1.0,-0.476923944263584,-0.08288098259507351,0
81,ARO:3002590,AAC(6')-Iih,AAC(6')-Iih,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iih,WP_064190968.1,NG_048575.1,15849260,1.0,-0.476923944263584,-0.08288098259507351,0
82,ARO:3002557,AAC(6')-Ij,AAC(6')-Ij,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ij,WP_064190968.1,NG_048575.1,7810994,1.0,-0.476923944263584,-0.08288098259507351,0
83,ARO:3002558,AAC(6')-Ik,AAC(6')-Ik,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ik,WP_064190968.1,NG_048575.1,8001769,1.0,-0.476923944263584,-0.08288098259507351,0
84,ARO:3004635,AAC(6')-Il,AAC(6')-Il,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Il,WP_064190968.1,NG_048575.1,7793874,1.0,-0.476923944263584,-0.08288098259507351,0
85,ARO:3004629,AAC(6')-Im,AAC(6')-Im,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Im,WP_064190968.1,NG_048575.1,11557456,1.0,-0.476923944263584,-0.08288098259507351,0
86,ARO:3002559,AAC(6')-Ip,AAC(6')-Ip,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ip,WP_064190968.1,NG_048575.1,11557456;9021185;7793874,3.0,-0.476923944263584,-0.08288098259507351,0
87,ARO:3002560,AAC(6')-Iq,AAC(6')-Iq,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iq,WP_064190968.1,NG_048575.1,9624504,1.0,-0.476923944263584,-0.08288098259507351,0
88,ARO:3002561,AAC(6')-Ir,AAC(6')-Ir,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ir,WP_064190968.1,NG_048575.1,10188279,1.0,-0.476923944263584,-0.08288098259507351,0
89,ARO:3002562,AAC(6')-Is,AAC(6')-Is,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Is,WP_064190968.1,NG_048575.1,10188279,1.0,-0.476923944263584,-0.08288098259507351,0
90,ARO:3002563,AAC(6')-Isa,AAC(6')-Isa,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Isa,WP_064190968.1,NG_048575.1,15625322,1.0,-0.476923944263584,-0.08288098259507351,0
91,ARO:3002564,AAC(6')-It,AAC(6')-It,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-It,WP_064190968.1,NG_048575.1,10188279,1.0,-0.476923944263584,-0.08288098259507351,0
92,ARO:3002565,AAC(6')-Iu,AAC(6')-Iu,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iu,WP_064190968.1,NG_048575.1,10188279,1.0,-0.476923944263584,-0.08288098259507351,0
93,ARO:3002566,AAC(6')-Iv,AAC(6')-Iv,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iv,WP_064190968.1,NG_048575.1,10188279,1.0,-0.476923944263584,-0.08288098259507351,0
94,ARO:3002567,AAC(6')-Iw,AAC(6')-Iw,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iw,WP_064190968.1,NG_048575.1,10188279,1.0,-0.476923944263584,-0.08288098259507351,0
95,ARO:3002568,AAC(6')-Ix,AAC(6')-Ix,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ix,WP_064190968.1,NG_048575.1,10188279,1.0,-0.476923944263584,-0.08288098259507351,0
96,ARO:3002569,AAC(6')-Iy,AAC(6')-Iy,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iy,WP_064190968.1,NG_048575.1,10542165,1.0,-0.476923944263584,-0.08288098259507351,0
97,ARO:3002570,AAC(6')-Iz,AAC(6')-Iz,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iz,WP_064190968.1,NG_048575.1,10508008,1.0,-0.476923944263584,-0.08288098259507351,0
98,ARO:3002628,aad(6),aad(6),ANT(6),aminoglycoside antibiotic,antibiotic inactivation,aad(6),AAU10334.1,AY712687.1,17407061;11735367,2.0,-0.476923944263584,-0.08288098259507351,0
99,ARO:3002601,aadA,aadA,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA,AAO49597.1,AF550679.1,2986186,1.0,-0.476923944263584,-0.08288098259507351,0
100,ARO:3004692,aadA10,aadA10,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA10,AAO49597.1,AF550679.1,12121911,1.0,-0.476923944263584,-0.08288098259507351,0
101,ARO:3002611,aadA11,aadA11,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA11,AAO49597.1,AF550679.1,16451415,1.0,-0.476923944263584,-0.08288098259507351,0
102,ARO:3002612,aadA12,aadA12,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA12,AAO49597.1,AF550679.1,19538087,1.0,-0.476923944263584,-0.08288098259507351,0
103,ARO:3002613,aadA13,aadA13,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA13,AAO49597.1,AF550679.1,18268088,1.0,-0.476923944263584,-0.08288098259507351,0
104,ARO:3002614,aadA14,aadA14,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA14,AAO49597.1,AF550679.1,15980396,1.0,-0.476923944263584,-0.08288098259507351,0
105,ARO:3002615,aadA15,aadA15,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA15,AAO49597.1,AF550679.1,16816399,1.0,-0.476923944263584,-0.08288098259507351,0
106,ARO:3002616,aadA16,aadA16,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA16,AAO49597.1,AF550679.1,19008256,1.0,-0.476923944263584,-0.08288098259507351,0
107,ARO:3002617,aadA17,aadA17,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA17,AAO49597.1,AF550679.1,22127350,1.0,-0.476923944263584,-0.08288098259507351,0
108,ARO:3002602,aadA2,aadA2,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA2,AAO49597.1,AF550679.1,17526756,1.0,-0.476923944263584,-0.08288098259507351,0
109,ARO:3002618,aadA21,aadA21,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA21,AAO49597.1,AF550679.1,12760885,1.0,-0.476923944263584,-0.08288098259507351,0
110,ARO:3002619,aadA22,aadA22,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA22,AAO49597.1,AF550679.1,17597002,1.0,-0.476923944263584,-0.08288098259507351,0
111,ARO:3002620,aadA23,aadA23,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA23,AAO49597.1,AF550679.1,15761062,1.0,-0.476923944263584,-0.08288098259507351,0
112,ARO:3002621,aadA24,aadA24,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA24,AAO49597.1,AF550679.1,17650961,1.0,-0.476923944263584,-0.08288098259507351,0
113,ARO:3003197,aadA25,aadA25,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA25,AAO49597.1,AF550679.1,22001175,1.0,-0.476923944263584,-0.08288098259507351,0
114,ARO:3004682,aadA27,aadA27,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA27,AAO49597.1,AF550679.1,26896789,1.0,-0.476923944263584,-0.08288098259507351,0
115,ARO:3002603,aadA3,aadA3,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA3,AAO49597.1,AF550679.1,1314803,1.0,-0.476923944263584,-0.08288098259507351,0
116,ARO:3002604,aadA4,aadA4,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA4,AAO49597.1,AF550679.1,12910271;18458128,2.0,-0.476923944263584,-0.08288098259507351,0
117,ARO:3002605,aadA5,aadA5,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA5,AAO49597.1,AF550679.1,10582907,1.0,-0.476923944263584,-0.08288098259507351,0
118,ARO:3002606,aadA6,aadA6,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA6,AAO49597.1,AF550679.1,10673049,1.0,-0.476923944263584,-0.08288098259507351,0
