,ARO Accession,Model Name,ARO Name,AMR Gene Family,Drug Class,Resistance Mechanism,CARD Short Name,Protein Accession,DNA Accession
11,ARO:3002531,AAC(3)-Ic,AAC(3)-Ic,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Ic,AAG15269.1,U12338.3
12,ARO:3002529,AAC(3)-Id,AAC(3)-Id,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Id,AAG15269.1,U12338.3
13,ARO:3002533,AAC(3)-IIa,AAC(3)-IIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIa,AAG15269.1,U12338.3
14,ARO:3002534,AAC(3)-IIb,AAC(3)-IIb,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIb,AAG15269.1,U12338.3
15,ARO:3002535,AAC(3)-IIc,AAC(3)-IIc,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIc,AAG15269.1,U12338.3
16,ARO:3004623,AAC(3)-IId,AAC(3)-IId,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IId,AAG15269.1,U12338.3
17,ARO:3004621,AAC(3)-IIe,AAC(3)-IIe,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIe,AAG15269.1,U12338.3
18,ARO:3005085,AAC(3)-IIg,AAC(3)-IIg,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIg,AAG15269.1,U12338.3
19,ARO:3002536,AAC(3)-IIIa,AAC(3)-IIIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIa,AAG15269.1,U12338.3
20,ARO:3002537,AAC(3)-IIIb,AAC(3)-IIIb,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIb,AAG15269.1,U12338.3
21,ARO:3002538,AAC(3)-IIIc,AAC(3)-IIIc,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IIIc,AAG15269.1,U12338.3
22,ARO:3002539,AAC(3)-IVa,AAC(3)-IVa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IVa,AAG15269.1,U12338.3
23,ARO:3005061,AAC(3)-IVb,AAC(3)-IVb,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IVb,AAG15269.1,U12338.3
24,ARO:3002543,AAC(3)-IXa,AAC(3)-IXa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-IXa,AAG15269.1,U12338.3
25,ARO:3002540,AAC(3)-VIa,AAC(3)-VIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIa,AAG15269.1,U12338.3
26,ARO:3002541,AAC(3)-VIIa,AAC(3)-VIIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIa,AAG15269.1,U12338.3
27,ARO:3002542,AAC(3)-VIIIa,AAC(3)-VIIIa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-VIIIa,AAG15269.1,U12338.3
28,ARO:3002544,AAC(3)-Xa,AAC(3)-Xa,AAC(3),aminoglycoside antibiotic,antibiotic inactivation,AAC(3)-Xa,AAG15269.1,U12338.3
29,ARO:3002583,AAC(6')-29a,AAC(6')-29a,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29a,WP_064190968.1,NG_048575.1
30,ARO:3002584,AAC(6')-29b,AAC(6')-29b,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-29b,WP_064190968.1,NG_048575.1
31,ARO:3002599,AAC(6')-30/AAC(6')-Ib' bifunctional protein,AAC(6')-30/AAC(6')-Ib' bifunctional protein,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_30_AAC6_Ib,AAL82588.1,AF355189.1
32,ARO:3002585,AAC(6')-31,AAC(6')-31,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-31,WP_064190968.1,NG_048575.1
33,ARO:3002586,AAC(6')-32,AAC(6')-32,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-32,WP_064190968.1,NG_048575.1
34,ARO:3003989,AAC(6')-34,AAC(6')-34,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-34,WP_064190968.1,NG_048575.1
35,ARO:3002588,AAC(6')-I30,AAC(6')-I30,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I30,WP_064190968.1,NG_048575.1
36,ARO:3002587,AAC(6')-I33,AAC(6')-I33,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I33,WP_064190968.1,NG_048575.1
37,ARO:3004641,AAC(6')-I-43,AAC(6')-I-43,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-43,WP_064190968.1,NG_048575.1
38,ARO:3004638,AAC(6')-I-48,AAC(6')-I-48,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-I-48,WP_064190968.1,NG_048575.1
39,ARO:3002545,AAC(6')-Ia,AAC(6')-Ia,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ia,WP_064190968.1,NG_048575.1
40,ARO:3002571,AAC(6')-Iaa,AAC(6')-Iaa,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaa,WP_064190968.1,NG_048575.1
41,ARO:3002572,AAC(6')-Iad,AAC(6')-Iad,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iad,WP_064190968.1,NG_048575.1
42,ARO:3002573,AAC(6')-Iae,AAC(6')-Iae,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iae,WP_064190968.1,NG_048575.1
43,ARO:3002574,AAC(6')-Iaf,AAC(6')-Iaf,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaf,WP_064190968.1,NG_048575.1
44,ARO:3002575,AAC(6')-Iai,AAC(6')-Iai,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iai,WP_064190968.1,NG_048575.1
45,ARO:3003677,AAC(6')-Iaj,AAC(6')-Iaj,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iaj,WP_064190968.1,NG_048575.1
46,ARO:3003199,AAC(6')-Iak,AAC(6')-Iak,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iak,WP_064190968.1,NG_048575.1
47,ARO:3003200,AAC(6')-Ian,AAC(6')-Ian,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ian,WP_064190968.1,NG_048575.1
48,ARO:3007204,AAC(6')-Iap,AAC(6')-Iap,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iap,WP_064190968.1,NG_048575.1
49,ARO:3002546,AAC(6')-Ib,AAC(6')-Ib,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib,WP_064190968.1,NG_048575.1
50,ARO:3003676,AAC(6')-Ib',AAC(6')-Ib',AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib',WP_064190968.1,NG_048575.1
51,ARO:3002581,AAC(6')-Ib10,AAC(6')-Ib10,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib10,WP_064190968.1,NG_048575.1
52,ARO:3002582,AAC(6')-Ib11,AAC(6')-Ib11,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib11,WP_064190968.1,NG_048575.1
53,ARO:3002576,AAC(6')-Ib3,AAC(6')-Ib3,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib3,WP_064190968.1,NG_048575.1
54,ARO:3002577,AAC(6')-Ib4,AAC(6')-Ib4,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib4,WP_064190968.1,NG_048575.1
55,ARO:3002578,AAC(6')-Ib7,AAC(6')-Ib7,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib7,WP_064190968.1,NG_048575.1
56,ARO:3002579,AAC(6')-Ib8,AAC(6')-Ib8,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib8,WP_064190968.1,NG_048575.1
57,ARO:3002580,AAC(6')-Ib9,AAC(6')-Ib9,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib9,WP_064190968.1,NG_048575.1
58,ARO:3002547,AAC(6')-Ib-cr1,AAC(6')-Ib-cr1,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr1,WP_071846215.1,NG_052213.1
59,ARO:3007770,aac(6')-Ib-cr10,aac(6')-Ib-cr10,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr10,WP_071846215.1,NG_052213.1
60,ARO:3007771,aac(6')-Ib-cr11,aac(6')-Ib-cr11,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,aac(6')-Ib-cr11,WP_071846215.1,NG_052213.1
61,ARO:3005112,AAC(6')-Ib-cr3,AAC(6')-Ib-cr3,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr3,WP_071846215.1,NG_052213.1
62,ARO:3005114,AAC(6')-Ib-cr4,AAC(6')-Ib-cr4,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr4,WP_071846215.1,NG_052213.1
63,ARO:3005115,AAC(6')-Ib-cr5,AAC(6')-Ib-cr5,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr5,WP_071846215.1,NG_052213.1
64,ARO:3005116,AAC(6')-Ib-cr6,AAC(6')-Ib-cr6,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr6,WP_071846215.1,NG_052213.1
65,ARO:3005117,AAC(6')-Ib-cr7,AAC(6')-Ib-cr7,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr7,WP_071846215.1,NG_052213.1
66,ARO:3005118,AAC(6')-Ib-cr8,AAC(6')-Ib-cr8,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr8,WP_071846215.1,NG_052213.1
67,ARO:3005119,AAC(6')-Ib-cr9,AAC(6')-Ib-cr9,AAC(6');AAC(6')-Ib-cr,aminoglycoside antibiotic;fluoroquinolone antibiotic,antibiotic inactivation,AAC(6')-Ib-cr9,WP_071846215.1,NG_052213.1
68,ARO:3002592,AAC(6')-Ib-Hangzhou,AAC(6')-Ib-Hangzhou,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC6_IB_HZ,WP_064190968.1,NG_048575.1
69,ARO:3002593,AAC(6')-Ib-SK,AAC(6')-Ib-SK,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ib-SK,WP_064190968.1,NG_048575.1
70,ARO:3002591,AAC(6')-Ib-Suzhou,AAC(6')-Ib-Suzhou,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC_6_IB_Su,WP_064190968.1,NG_048575.1
71,ARO:3002549,AAC(6')-Ic,AAC(6')-Ic,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ic,WP_064190968.1,NG_048575.1
72,ARO:3002597,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,AAC(6')-Ie-APH(2'')-Ia bifunctional protein,aminoglycoside bifunctional resistance protein,aminoglycoside antibiotic,antibiotic inactivation,AAC6_Ie_APH2_Ia,AAL82588.1,AF355189.1
73,ARO:3002553,AAC(6')-If,AAC(6')-If,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-If,WP_064190968.1,NG_048575.1
74,ARO:3002554,AAC(6')-Ig,AAC(6')-Ig,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ig,WP_064190968.1,NG_048575.1
75,ARO:3002555,AAC(6')-Ih,AAC(6')-Ih,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ih,WP_064190968.1,NG_048575.1
76,ARO:3002556,AAC(6')-Ii,AAC(6')-Ii,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ii,WP_064190968.1,NG_048575.1
77,ARO:3002594,AAC(6')-IIa,AAC(6')-IIa,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIa,WP_064190968.1,NG_048575.1
78,ARO:3002595,AAC(6')-IIb,AAC(6')-IIb,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIb,WP_064190968.1,NG_048575.1
79,ARO:3002596,AAC(6')-IIc,AAC(6')-IIc,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-IIc,WP_064190968.1,NG_048575.1
80,ARO:3002589,AAC(6')-Iid,AAC(6')-Iid,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iid,WP_064190968.1,NG_048575.1
81,ARO:3002590,AAC(6')-Iih,AAC(6')-Iih,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iih,WP_064190968.1,NG_048575.1
82,ARO:3002557,AAC(6')-Ij,AAC(6')-Ij,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ij,WP_064190968.1,NG_048575.1
83,ARO:3002558,AAC(6')-Ik,AAC(6')-Ik,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ik,WP_064190968.1,NG_048575.1
84,ARO:3004635,AAC(6')-Il,AAC(6')-Il,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Il,WP_064190968.1,NG_048575.1
85,ARO:3004629,AAC(6')-Im,AAC(6')-Im,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Im,WP_064190968.1,NG_048575.1
86,ARO:3002559,AAC(6')-Ip,AAC(6')-Ip,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ip,WP_064190968.1,NG_048575.1
87,ARO:3002560,AAC(6')-Iq,AAC(6')-Iq,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iq,WP_064190968.1,NG_048575.1
88,ARO:3002561,AAC(6')-Ir,AAC(6')-Ir,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ir,WP_064190968.1,NG_048575.1
89,ARO:3002562,AAC(6')-Is,AAC(6')-Is,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Is,WP_064190968.1,NG_048575.1
90,ARO:3002563,AAC(6')-Isa,AAC(6')-Isa,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Isa,WP_064190968.1,NG_048575.1
91,ARO:3002564,AAC(6')-It,AAC(6')-It,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-It,WP_064190968.1,NG_048575.1
92,ARO:3002565,AAC(6')-Iu,AAC(6')-Iu,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iu,WP_064190968.1,NG_048575.1
93,ARO:3002566,AAC(6')-Iv,AAC(6')-Iv,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iv,WP_064190968.1,NG_048575.1
94,ARO:3002567,AAC(6')-Iw,AAC(6')-Iw,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iw,WP_064190968.1,NG_048575.1
95,ARO:3002568,AAC(6')-Ix,AAC(6')-Ix,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Ix,WP_064190968.1,NG_048575.1
96,ARO:3002569,AAC(6')-Iy,AAC(6')-Iy,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iy,WP_064190968.1,NG_048575.1
97,ARO:3002570,AAC(6')-Iz,AAC(6')-Iz,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation,AAC(6')-Iz,WP_064190968.1,NG_048575.1
98,ARO:3002628,aad(6),aad(6),ANT(6),aminoglycoside antibiotic,antibiotic inactivation,aad(6),AAU10334.1,AY712687.1
99,ARO:3002601,aadA,aadA,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA,AAO49597.1,AF550679.1
100,ARO:3004692,aadA10,aadA10,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA10,AAO49597.1,AF550679.1
101,ARO:3002611,aadA11,aadA11,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA11,AAO49597.1,AF550679.1
102,ARO:3002612,aadA12,aadA12,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA12,AAO49597.1,AF550679.1
103,ARO:3002613,aadA13,aadA13,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA13,AAO49597.1,AF550679.1
104,ARO:3002614,aadA14,aadA14,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA14,AAO49597.1,AF550679.1
105,ARO:3002615,aadA15,aadA15,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA15,AAO49597.1,AF550679.1
106,ARO:3002616,aadA16,aadA16,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA16,AAO49597.1,AF550679.1
107,ARO:3002617,aadA17,aadA17,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA17,AAO49597.1,AF550679.1
108,ARO:3002602,aadA2,aadA2,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA2,AAO49597.1,AF550679.1
109,ARO:3002618,aadA21,aadA21,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA21,AAO49597.1,AF550679.1
110,ARO:3002619,aadA22,aadA22,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA22,AAO49597.1,AF550679.1
111,ARO:3002620,aadA23,aadA23,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA23,AAO49597.1,AF550679.1
112,ARO:3002621,aadA24,aadA24,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA24,AAO49597.1,AF550679.1
113,ARO:3003197,aadA25,aadA25,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA25,AAO49597.1,AF550679.1
114,ARO:3004682,aadA27,aadA27,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA27,AAO49597.1,AF550679.1
115,ARO:3002603,aadA3,aadA3,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA3,AAO49597.1,AF550679.1
116,ARO:3002604,aadA4,aadA4,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA4,AAO49597.1,AF550679.1
117,ARO:3002605,aadA5,aadA5,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA5,AAO49597.1,AF550679.1
118,ARO:3002606,aadA6,aadA6,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA6,AAO49597.1,AF550679.1
119,ARO:3002622,aadA6/aadA10,aadA6/aadA10,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA6/aadA10,AAO49597.1,AF550679.1
120,ARO:3002607,aadA7,aadA7,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA7,AAO49597.1,AF550679.1
121,ARO:3002608,aadA8,aadA8,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA8,AAO49597.1,AF550679.1
122,ARO:3004704,aadA8b,aadA8b,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA8b,AAO49597.1,AF550679.1
123,ARO:3002609,aadA9,aadA9,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation,aadA9,AAO49597.1,AF550679.1
124,ARO:3002627,aadK,aadK,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,aadK,AAU10334.1,AY712687.1
125,ARO:3004683,aadS,aadS,ANT(6),aminoglycoside antibiotic,antibiotic inactivation,aadS,AAU10334.1,AY712687.1
126,ARO:3007669,aadT,aadT,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux,aadT,AMD83542.1,KT852971.1
127,ARO:3006863,AAK-1,AAK-1,AAK beta-lactamase,carbapenem,antibiotic inactivation,AAK-1,WP_194293132.1,NG_070893.1
128,ARO:3003942,abcA,abcA,ATP-binding cassette (ABC) antibiotic efflux pump,cephalosporin;penicillin beta-lactam;peptide antibiotic,antibiotic efflux,abcA,XP_753111.1,XM_748018.1
129,ARO:3000753,abeM,abeM,multidrug and toxic compound extrusion (MATE) transporter,disinfecting agents and antiseptics;fluoroquinolone antibiotic,antibiotic efflux,abeM,BAD89844.2,AB204810.2
130,ARO:3000768,abeS,abeS,small multidrug resistance (SMR) antibiotic efflux pump,aminocoumarin antibiotic;macrolide antibiotic,antibiotic efflux,abeS,ACJ59254.1,CP001172.1
131,ARO:3001815,ACC-1,ACC-1,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-1,CAB46491.1,AJ133121.1
132,ARO:3006228,ACC-1a,ACC-1a,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-1a,CAB46491.1,AJ133121.1
133,ARO:3006229,ACC-1b,ACC-1b,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-1b,CAB46491.1,AJ133121.1
134,ARO:3006230,ACC-1c,ACC-1c,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-1c,CAB46491.1,AJ133121.1
135,ARO:3006231,ACC-1d,ACC-1d,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-1d,CAB46491.1,AJ133121.1
136,ARO:3001816,ACC-2,ACC-2,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-2,CAB46491.1,AJ133121.1
137,ARO:3001817,ACC-3,ACC-3,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-3,CAB46491.1,AJ133121.1
138,ARO:3001818,ACC-4,ACC-4,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-4,CAB46491.1,AJ133121.1
139,ARO:3001819,ACC-5,ACC-5,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-5,CAB46491.1,AJ133121.1
140,ARO:3006232,ACC-7,ACC-7,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-7,CAB46491.1,AJ133121.1
141,ARO:3006233,ACC-8,ACC-8,ACC beta-lactamase,cephalosporin;monobactam;penicillin beta-lactam,antibiotic inactivation,ACC-8,CAB46491.1,AJ133121.1
142,ARO:3004359,ACI-1,ACI-1,ACI beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,ACI-1,CAB51471.1,AJ007350.1
143,ARO:3004573,Acinetobacter baumannii AbaF,Acinetobacter baumannii AbaF,major facilitator superfamily (MFS) antibiotic efflux pump,phosphonic acid antibiotic,antibiotic efflux,Abau_AbaF,AMD83542.1,KT852971.1
144,ARO:3004574,Acinetobacter baumannii AbaQ,Acinetobacter baumannii AbaQ,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,Abau_AbaQ,AMD83542.1,KT852971.1
145,ARO:3004578,Acinetobacter baumannii AbuO,Acinetobacter baumannii AbuO,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic;carbapenem;cephalosporin;disinfecting agents and antiseptics;glycylcycline;penicillin beta-lactam;tetracycline antibiotic,antibiotic efflux,Abau_AbuO,WP_001985623.1,NC_010410.1
146,ARO:3003796,Acinetobacter baumannii ampC beta-lactamase,Acinetobacter baumannii ampC beta-lactamase,ampC-type beta-lactamase,cephalosporin;penicillin beta-lactam,antibiotic inactivation,Abau_ampC_BLA,ACJ42146.1,CP001182.1
147,ARO:3004577,Acinetobacter baumannii AmvA,Acinetobacter baumannii AmvA,major facilitator superfamily (MFS) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic,antibiotic efflux,Abau_AmvA,AMD83542.1,KT852971.1
148,ARO:3003817,Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones,Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,Abau_gyrA_FLO,AJF82744.1,CP010781.1
149,ARO:3003809,Acinetobacter baumannii OprD conferring resistance to imipenem,Acinetobacter baumannii OprD conferring resistance to imipenem,Outer Membrane Porin (Opr),carbapenem;cephalosporin;monobactam;penicillin beta-lactam,reduced permeability to antibiotic;resistance by absence,Abau_OprD_IPM,AHB92962.1,CP006768.1
